,0,1,2,3,4,5,6,7
EPHA5,1.5464408,1.0364156,1.5954679,1.675959,1.3735473,0.9660661,1.040964,1.2528502
G3BP2,1.3776561,0.7457294,1.4950708,1.4700671,1.2084705,0.64932644,1.0131886,1.4593107
FRAS1,1.7075312,0.90250397,1.6766667,1.5081711,2.0141041,0.92682767,1.0222483,1.4855258
RASGEF1B,2.1682355,3.509363,2.2471426,2.0400648,1.6457741,7.9753036,2.3781378,2.2166271
HNRNPDL,1.5768971,0.92458314,1.2302718,1.2264256,0.99593145,0.65246016,1.2001681,1.1276993
SCD5,1.3051704,0.86578363,1.2079835,1.325033,1.2576811,0.82261443,1.0440072,1.5685003
RP11-778J15.1,1.2834617,0.77728015,1.2414147,1.2998286,1.2174015,0.6251748,1.0059868,1.1708865
SPARCL1,1.6830789,1.2274603,2.011388,1.432617,1.6847641,1.2469019,1.4227189,1.5760622
HSP90AB3P,1.1248775,0.75173026,1.2394657,0.80206424,1.1381956,0.4778698,0.7937366,1.0595846
SNCA,1.7059362,0.948684,1.2951102,1.725297,1.4907633,0.92378753,1.1373436,1.5915266
GRID2,1.6111423,1.8486773,1.7521499,1.7091931,2.48143,2.4719646,1.6616036,1.991001
PPP3CA,1.9413524,2.147426,1.8973702,1.9694746,1.7969046,3.0275917,1.7256486,1.7283127
CAMK2D,1.2735604,0.9016335,1.3222394,1.0079489,1.5069681,0.64087236,1.1608907,1.266174
LINC01378,1.3941413,1.2432361,1.4204289,1.5053523,1.4969624,1.3184686,1.4552531,1.3796
PDE5A,1.579804,0.93527657,1.0297683,1.0279821,1.500544,0.8281147,1.0634817,1.4812713
RP11-745L13.2,1.6595896,0.81710196,1.245544,1.076444,1.0955234,0.70863986,0.926604,1.1251864
PCDH10,1.4513352,0.6497941,1.1454093,1.0879214,1.0975401,0.5930347,0.8351896,1.1671126
MAML3,1.2769845,0.8147081,1.112231,1.061858,1.3836192,0.8149988,0.7995539,1.058389
SCOC,1.1735271,0.78511846,0.86156166,1.2025502,1.0923997,0.66508496,1.1523678,1.2456107
RP11-673E1.4,1.6538118,0.9586008,1.274217,1.2007158,1.2011497,0.74311316,1.0236858,1.4844131
PRMT9,1.6306764,0.58999,1.0796406,1.0503074,1.4144404,0.5706273,0.7921037,1.069188
ARHGAP10,1.38993,0.9985346,1.4010255,1.1480135,1.1137624,0.8084539,0.9130412,1.633078
NR3C2,1.330985,1.0990088,1.5790085,1.1269907,1.4075844,0.96557707,1.1661115,1.3723849
FBXW7,1.6110207,1.7106519,1.6882694,1.8466266,1.73422,1.8990856,1.4766842,1.5471698
GUCY1B3,1.1260737,0.88795215,1.1938312,1.1621175,1.0754912,0.7615771,0.9501297,0.9713438
RAPGEF2,1.424479,1.4162675,1.5080951,1.6216391,1.5579172,1.7944654,1.737531,1.4626356
FSTL5,1.3454794,0.9089931,1.5914313,1.211287,1.7253995,0.8599655,1.0777087,1.3397902
MARCH1,1.3928176,1.8442086,2.4500248,1.959981,1.6512817,2.8768818,1.8650032,1.7099448
CPE,1.5011897,1.1586031,1.3818151,1.3297005,1.7740896,1.2016196,1.2769759,1.1224269
GALNTL6,1.7780306,1.1223594,1.8946195,1.9424335,1.6866345,2.8577116,1.7124194,1.7878782
